Since top 10 states all have more than one survey score (variance > 0), we have 
State	SumScore	AvgScore	VarianceScore
SD      82      6.3076923076923075      9.597633136094675
HI      49      6.125   4.109375
LA      324     6.0     8.333333333333334
NE      114     5.7     6.109999999999999
ME      74      5.6923076923076925      6.059171597633135
WY      17      5.666666666666667       9.555555555555555
OK      243     5.651162790697675       10.878312601406163
KS      209     5.648648648648648       7.4711468224981745
ID      38      5.428571428571429       10.244897959183673
IN      385     5.422535211267606       6.356675262844673
Time taken: 10.666 seconds, Fetched: 10 row(s)
